sc19aj,ANDREWS,Julie
fy18cb,BALE,Christian
el18eb,BLUNT,Emily
ml17bb,BLETHYN,Brenda
sc19mc,CAINE,Michael
sc18cc,CARDINALE,Claudia
fy17ad,DELON,Alain
el18jd,DENCH,Judi
ml19rd,DENIRO,Robert
sc18ie,ELBA,Idris
el17ag,GORE,Al
sc19th,HARDY,Tom
fy17ah,HOPKINS,Anthony
el17kn,KNIGHTLEY,Keira
ml19im,MCKELLEN,Ian
sc18hm,MIRREN,Helen
fy17rm,MITCHUM,Robert
sc19cm,MULLIGAN,Carey
fy18go,OLDMAN,Gary
el17ap,PACINO,Al
sc18kr,REEVES,Keanu
sc19ms,SMITH,Maggie
ml17ts,SWINTON,Tilda
fy18et,THOMPSON,Emma
sc18kw,WINSLET,Kate
sc19zy,YIMOU,Zhang
